9;Tab
29e3;eparsl
29e4;smeparsl
29e5;eqvparsl
29eb;lozf,blacklozenge
29f4;RuleDelayed
29f6;dsol
2a00;xodot,bigodot
2a01;xoplus,bigoplus
2a02;xotime,bigotimes
2a04;xuplus,biguplus
2a06;xsqcup,bigsqcup
2a0c;qint,iiiint
2a0d;fpartint
2a10;cirfnint
2a11;awint
2a12;rppolint
2a13;scpolint
2a14;npolint
2a15;pointint
2a16;quatint
2a17;intlarhk
2a22;pluscir
2a23;plusacir
2a24;simplus
2a25;plusdu
2a26;plussim
2a27;plustwo
2a29;mcomma
2a2a;minusdu
2a2d;loplus
2a2e;roplus
2a2f;Cross
2a30;timesd
2a31;timesbar
2a33;smashp
2a34;lotimes
2a35;rotimes
2a36;otimesas
2a37;Otimes
2a38;odiv
2a39;triplus
2a3a;triminus
2a3b;tritime
2a3c;iprod,intprod
2a3f;amalg
2a40;capdot
2a42;ncup
2a43;ncap
2a44;capand
2a45;cupor
2a46;cupcap
2a47;capcup
2a48;cupbrcap
2a49;capbrcup
2a4a;cupcup
2a4b;capcap
2a4c;ccups
2a4d;ccaps
2a50;ccupssm
2a53;And
2a54;Or
2a55;andand
2a56;oror
2a57;orslope
2a58;andslope
2a5a;andv
2a5b;orv
2a5c;andd
2a5d;ord
2a5f;wedbar
2a66;sdote
2a6a;simdot
2a6d;congdot
2a6e;easter
2a6f;apacir
2a70;apE
2a71;eplus
2a72;pluse
2a73;Esim
2a74;Colone
2a75;Equal
2a77;eDDot,ddotseq
2a78;equivDD
2a79;ltcir
2a7a;gtcir
2a7b;ltquest
2a7c;gtquest
2a7d;les,LessSlantEqual,leqslant
2a7e;ges,GreaterSlantEqual,geqslant
2a7f;lesdot
2a80;gesdot
2a81;lesdoto
2a82;gesdoto
2a83;lesdotor
2a84;gesdotol
2a85;lap,lessapprox
2a86;gap,gtrapprox
2a87;lne,lneq
2a88;gne,gneq
2a89;lnap,lnapprox
2a8a;gnap,gnapprox
2a8b;lEg,lesseqqgtr
2a8c;gEl,gtreqqless
2a8d;lsime
2a8e;gsime
2a8f;lsimg
2a90;gsiml
2a91;lgE
2a92;glE
2a93;lesges
2a94;gesles
2a95;els,eqslantless
2a96;egs,eqslantgtr
2a97;elsdot
2a98;egsdot
2a99;el
2a9a;eg
2a9d;siml
2a9e;simg
2a9f;simlE
2aa0;simgE
2aa1;LessLess
2aa2;GreaterGreater
2aa4;glj
2aa5;gla
2aa6;ltcc
2aa7;gtcc
2aa8;lescc
2aa9;gescc
2aaa;smt
2aab;lat
2aac;smte
2aad;late
2aae;bumpE
2aaf;pre,preceq,PrecedesEqual
2ab0;sce,succeq,SucceedsEqual
2ab3;prE
2ab4;scE
2ab5;prnE,precneqq
2ab6;scnE,succneqq
2ab7;prap,precapprox
2ab8;scap,succapprox
2ab9;prnap,precnapprox
2aba;scnap,succnapprox
2abb;Pr
2abc;Sc
2abd;subdot
2abe;supdot
2abf;subplus
2ac0;supplus
2ac1;submult
2ac2;supmult
2ac3;subedot
2ac4;supedot
2ac5;subE,subseteqq
2ac6;supE,supseteqq
2ac7;subsim
2ac8;supsim
2acb;subnE,subsetneqq
2acc;supnE,supsetneqq
2acf;csub
2ad0;csup
2ad1;csube
2ad2;csupe
2ad3;subsup
2ad4;supsub
2ad5;subsub
2ad6;supsup
2ad7;suphsub
2ad8;supdsub
2ad9;forkv
2ada;topfork
2adb;mlcp
2ae4;Dashv,DoubleLeftTee
2ae6;Vdashl
2ae7;Barv
2ae8;vBar
2ae9;vBarv
2aeb;Vbar
2aec;Not
2aed;bNot
2aee;rnmid
2aef;cirmid
2af0;midcir
2af1;topcir
2af2;nhpar
2af3;parsim
2afd;parsl
fb00;fflig
fb01;filig
fb02;fllig
fb03;ffilig
fb04;ffllig
1d49c;Ascr
1d49e;Cscr
1d49f;Dscr
1d4a2;Gscr
1d4a5;Jscr
1d4a6;Kscr
